,1,2,3,4,5,6,7,8,9,10,
user_id,7.06298E+17,7.06298E+17,7.06298E+17,7.06298E+17,7.06298E+17,7.06298E+17,7.06298E+17,7.06298E+17,7.06298E+17,7.06298E+17, 
status_id,1.37764E+18,1.37734E+18,1.37513E+18,1.37763E+18,1.37731E+18,1.37516E+18,1.37659E+18,1.37511E+18,1.37726E+18,1.37733E+18, 
created_at,2021-04-01T15:15:42Z,2021-03-31T19:32:41Z,2021-03-25T16:50:26Z,2021-04-01T14:41:58Z,2021-03-31T17:18:26Z,2021-03-25T19:00:51Z,2021-03-29T17:44:45Z,2021-03-25T15:37:18Z,2021-03-31T13:49:27Z,2021-03-31T18:32:16Z, 
screen_name,OptionsMaxPain,OptionsMaxPain,OptionsMaxPain,OptionsMaxPain,OptionsMaxPain,OptionsMaxPain,OptionsMaxPain,OptionsMaxPain,OptionsMaxPain,OptionsMaxPain, 
text,#Options Flow Stream Update $AAPL $AMZN $GME $NVDA $PH $HYG $FINV $XLK $SPY $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Jj64hrpqst https://t.co/OSNyF7IMMO,#Options Flow Stream Update $AAPL $AMZN $TSLA $JPM $EXPE $GME $GDX $SPY $IWM $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Jj64hrpqst https://t.co/6B6VywHei6,#Options Flow Stream Update $AAPL $AMZN $TSLA $BIDU $CMCSA $IWM $ABNB $NFLX $SQ $SPY $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Jj64hrpqst https://t.co/td4VkMmzFe,#Options Flow Stream Update $AAPL $AMZN $GME $NVDA $DD $FB $VIX $NDX  $SPY $QQQ $SPX ​#OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Jj64hrpqst https://t.co/u5Ho2SjXUF,#Options Flow Stream Update $AAPL $AMZN $TSLA $HYG $NDX $SPY $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Jj64hrpqst https://t.co/6B1xk4oAzp,#Options Flow Stream Update $AAPL $AMZN $TSLA $FB $ARKK $NFLX $XLB $CCL $SPY $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Jj64hrpqst https://t.co/dliIGSpqn6,#Options Flow Stream Update $AAPL $AMZN $TSLA $NVDA $AVGO $T $XLE $STNE $TLT $XP $SPY $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Jj64hrpqst https://t.co/U0ESUlPfqF,#Options Flow Stream Update $AAPL $AMZN $TSLA $PLTR $SQ $NVCR $MDB $SPY $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Jj64hrpqst https://t.co/rHarFSfK9h,#Options Flow Stream Update $AAPL $AMZN $TSLA $F $D $HYG $PAYC $SPY $NDX $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Jj64hrpqst https://t.co/uL96t2oAZP,#Options Flow Stream Update $AAPL $AMZN $GOOGL $TSLA $EXPE $W $NDX $SPY $QQQ $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Jj64hrpqst https://t.co/UThZjWgQIU, 
source,OptionsMaxPain_Post,OptionsMaxPain_Post,OptionsMaxPain_Post,OptionsMaxPain_Post,OptionsMaxPain_Post,OptionsMaxPain_Post,OptionsMaxPain_Post,OptionsMaxPain_Post,OptionsMaxPain_Post,OptionsMaxPain_Post, 
display_text_width,252,248,261,252,237,253,262,248,244,248,
reply_to_status_id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
reply_to_user_id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
reply_to_screen_name,,,,,,,,,,,
